treatment_group,n_group,variable,missing_n,missing_percent,endpoint,timepoint
Total,101,DIABP_t3,24,23.8,Diastolic BP (mmHg),12 Months (t3)
control,48,DIABP_t3,19,39.6,Diastolic BP (mmHg),12 Months (t3)
intervention,53,DIABP_t3,5,9.4,Diastolic BP (mmHg),12 Months (t3)
Total,101,DIABP_t1,22,21.8,Diastolic BP (mmHg),3 Months (t1)
control,48,DIABP_t1,19,39.6,Diastolic BP (mmHg),3 Months (t1)
intervention,53,DIABP_t1,3,5.7,Diastolic BP (mmHg),3 Months (t1)
Total,101,DIABP_t2,24,23.8,Diastolic BP (mmHg),6 Months (t2)
control,48,DIABP_t2,19,39.6,Diastolic BP (mmHg),6 Months (t2)
intervention,53,DIABP_t2,5,9.4,Diastolic BP (mmHg),6 Months (t2)
Total,101,DIABP_t0,18,17.8,Diastolic BP (mmHg),Baseline (t0)
control,48,DIABP_t0,16,33.3,Diastolic BP (mmHg),Baseline (t0)
intervention,53,DIABP_t0,2,3.8,Diastolic BP (mmHg),Baseline (t0)
Total,101,hba1c_percent_t3,53,52.5,HbA1c (%),12 Months (t3)
control,48,hba1c_percent_t3,31,64.6,HbA1c (%),12 Months (t3)
intervention,53,hba1c_percent_t3,22,41.5,HbA1c (%),12 Months (t3)
Total,101,hba1c_percent_t1,81,80.2,HbA1c (%),3 Months (t1)
control,48,hba1c_percent_t1,37,77.1,HbA1c (%),3 Months (t1)
intervention,53,hba1c_percent_t1,44,83,HbA1c (%),3 Months (t1)
Total,101,hba1c_percent_t2,40,39.6,HbA1c (%),6 Months (t2)
control,48,hba1c_percent_t2,27,56.2,HbA1c (%),6 Months (t2)
intervention,53,hba1c_percent_t2,13,24.5,HbA1c (%),6 Months (t2)
Total,101,hba1c_percent_t0,31,30.7,HbA1c (%),Baseline (t0)
control,48,hba1c_percent_t0,23,47.9,HbA1c (%),Baseline (t0)
intervention,53,hba1c_percent_t0,8,15.1,HbA1c (%),Baseline (t0)
Total,101,SYSBP_t3,24,23.8,Systolic BP (mmHg),12 Months (t3)
control,48,SYSBP_t3,19,39.6,Systolic BP (mmHg),12 Months (t3)
intervention,53,SYSBP_t3,5,9.4,Systolic BP (mmHg),12 Months (t3)
Total,101,SYSBP_t1,21,20.8,Systolic BP (mmHg),3 Months (t1)
control,48,SYSBP_t1,19,39.6,Systolic BP (mmHg),3 Months (t1)
intervention,53,SYSBP_t1,2,3.8,Systolic BP (mmHg),3 Months (t1)
Total,101,SYSBP_t2,22,21.8,Systolic BP (mmHg),6 Months (t2)
control,48,SYSBP_t2,19,39.6,Systolic BP (mmHg),6 Months (t2)
intervention,53,SYSBP_t2,3,5.7,Systolic BP (mmHg),6 Months (t2)
Total,101,SYSBP_t0,18,17.8,Systolic BP (mmHg),Baseline (t0)
control,48,SYSBP_t0,16,33.3,Systolic BP (mmHg),Baseline (t0)
intervention,53,SYSBP_t0,2,3.8,Systolic BP (mmHg),Baseline (t0)
Total,101,WSTCIR_t3,26,25.7,Waist Circumference (cm),12 Months (t3)
control,48,WSTCIR_t3,19,39.6,Waist Circumference (cm),12 Months (t3)
intervention,53,WSTCIR_t3,7,13.2,Waist Circumference (cm),12 Months (t3)
Total,101,WSTCIR_t1,22,21.8,Waist Circumference (cm),3 Months (t1)
control,48,WSTCIR_t1,19,39.6,Waist Circumference (cm),3 Months (t1)
intervention,53,WSTCIR_t1,3,5.7,Waist Circumference (cm),3 Months (t1)
Total,101,WSTCIR_t2,24,23.8,Waist Circumference (cm),6 Months (t2)
control,48,WSTCIR_t2,19,39.6,Waist Circumference (cm),6 Months (t2)
intervention,53,WSTCIR_t2,5,9.4,Waist Circumference (cm),6 Months (t2)
Total,101,WSTCIR_t0,18,17.8,Waist Circumference (cm),Baseline (t0)
control,48,WSTCIR_t0,16,33.3,Waist Circumference (cm),Baseline (t0)
intervention,53,WSTCIR_t0,2,3.8,Waist Circumference (cm),Baseline (t0)
Total,101,WEIGHT_t3,24,23.8,Weight (kg),12 Months (t3)
control,48,WEIGHT_t3,19,39.6,Weight (kg),12 Months (t3)
intervention,53,WEIGHT_t3,5,9.4,Weight (kg),12 Months (t3)
Total,101,WEIGHT_t1,22,21.8,Weight (kg),3 Months (t1)
control,48,WEIGHT_t1,19,39.6,Weight (kg),3 Months (t1)
intervention,53,WEIGHT_t1,3,5.7,Weight (kg),3 Months (t1)
Total,101,WEIGHT_t2,24,23.8,Weight (kg),6 Months (t2)
control,48,WEIGHT_t2,19,39.6,Weight (kg),6 Months (t2)
intervention,53,WEIGHT_t2,5,9.4,Weight (kg),6 Months (t2)
Total,101,WEIGHT_t0,18,17.8,Weight (kg),Baseline (t0)
control,48,WEIGHT_t0,16,33.3,Weight (kg),Baseline (t0)
intervention,53,WEIGHT_t0,2,3.8,Weight (kg),Baseline (t0)
